Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles||_date_|_origin_latitude_|_origin_longitude_|_dest_latitude_|_dest_longitude_|_delete_this_
TMS|25647107|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207||2020-07-21|29.760794|-95.26043|27.776304|-97.51253|FALSE
TMS|25647108|21-Jul-20|HTN|94213|DRY|HOUSTON|TX|77029|MONT BELVIEU|TX|77523|32||2020-07-21|29.760794|-95.26043|#N/A|#N/A|TRUE
TMS|25647109|21-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85||2020-07-21|29.760794|-95.26043|30.065029|-94.18031|FALSE
TMS|25647111|21-Jul-20|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268||2020-07-21|29.760794|-95.26043|30.403341|-91.08035|FALSE
TMS|25647114|21-Jul-20|HTN|64295|DRY|HOUSTON|TX|77029|WACO|TX|76701|185||2020-07-21|29.760794|-95.26043|31.551955|-97.13833|FALSE
TMS|25647118|21-Jul-20|HTN|64230|DRY|HOUSTON|TX|77029|COMMERCE|TX|75428|274||2020-07-21|29.760794|-95.26043|33.25868|-95.91061|FALSE
TMS|25647122|21-Jul-20|HTN|84245|DRY|HOUSTON|TX|77029|LONGVIEW|TX|75601|207||2020-07-21|29.760794|-95.26043|32.505248|-94.73172|FALSE
TMS|25647123|21-Jul-20|HTN|94211|DRY|HOUSTON|TX|77029|BRENHAM|TX|77833|74||2020-07-21|29.760794|-95.26043|30.183651|-96.40258|FALSE
TMS|25647124|21-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10||2020-07-21|29.760794|-95.26043|29.695028|-95.15798|FALSE
TMS|25647128|21-Jul-20|HTN|64230|DRY|HOUSTON|TX|77029|COMMERCE|TX|75428|274||2020-07-21|29.760794|-95.26043|33.25868|-95.91061|FALSE
TMS|25647130|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207||2020-07-21|29.760794|-95.26043|27.776304|-97.51253|FALSE
TMS|25647132|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647133|21-Jul-20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163||2020-07-21|29.760794|-95.26043|30.294148|-97.62863|FALSE
TMS|25647134|21-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10||2020-07-21|29.760794|-95.26043|29.695028|-95.15798|FALSE
TMS|25647135|21-Jul-20|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41||2020-07-21|29.760794|-95.26043|30.313308|-95.45085|FALSE
TMS|25647136|21-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10||2020-07-21|29.760794|-95.26043|29.695028|-95.15798|FALSE
TMS|25647142|21-Jul-20|HTN|41732|DRY|HOUSTON|TX|77029|LAFAYETTE|LA|70501|218||2020-07-21|29.760794|-95.26043|30.2334|-92.00959|FALSE
TMS|25647143|21-Jul-20|HTN|34254|DRY|HOUSTON|TX|77029|LLANO|TX|78643|236||2020-07-21|29.760794|-95.26043|30.721302|-98.66557|FALSE
TMS|25647145|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207||2020-07-21|29.760794|-95.26043|27.776304|-97.51253|FALSE
TMS|25647146|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647147|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647148|21-Jul-20|HTN|51733|DRY|HOUSTON|TX|77029|LAKE CHARLES|LA|70615|144||2020-07-21|29.760794|-95.26043|30.239906|-93.14977|FALSE
TMS|25647149|21-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10||2020-07-21|29.760794|-95.26043|29.695028|-95.15798|FALSE
TMS|25647150|21-Jul-20|HTN|94240|DRYDRAUGHT|HOUSTON|TX|77029|HOUSTON|TX|77007|7||2020-07-21|29.760794|-95.26043|29.772627|-95.40319|FALSE
TMS|25647151|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647155|21-Jul-20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163||2020-07-21|29.760794|-95.26043|30.294148|-97.62863|FALSE
TMS|25647156|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647157|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647160|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207||2020-07-21|29.760794|-95.26043|27.776304|-97.51253|FALSE
TMS|25647161|21-Jul-20|HTN|54294|DRY|HOUSTON|TX|77029|VICTORIA|TX|77901|124||2020-07-21|29.760794|-95.26043|28.806417|-96.99356|FALSE
TMS|25647170|21-Jul-20|HTN|54209|DRY|HOUSTON|TX|77029|BEEVILLE|TX|78102|179||2020-07-21|29.760794|-95.26043|28.426202|-97.74806|FALSE
TMS|25647242|21-Jul-20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163||2020-07-21|29.760794|-95.26043|30.294148|-97.62863|FALSE
