Original;BreweryGroup;Lane;Origin;OriginWslr;OriginCity;OriginState;OriginType;Destination;DestinationWslr;DestinationCity;DestinationState;DestinationType;OW_Miles;TR_Loads;BH_Loads;tgt_ded_pcnt;bbls;ActDedicatedPayload;DedicatedLoads;Loads;FilledLoads;TotalLoadsToFill;DedicatedLoadsToFill
329;COL;OHCO_01603;OHCO;53400;OBETZ;OH;DC;1603;1603;BARDSTOWN;KY;WS;236;15;0;17;11563;143;14;81;15;66;\N
317;COL;OHCO_22152;OHCO;53400;OBETZ;OH;DC;22152;22152;MONROE;MI;WS;210;7;0;9;10907;155;6;70;7;63;\N
343;COL;OHCO_12167;OHCO;53400;OBETZ;OH;DC;12167;12167;PORT HURON;MI;WS;297;12;0;15;10553;139;12;76;12;64;\N
332;COL;OHCO_91630;OHCO;53400;OBETZ;OH;DC;91630;91630;HAZARD;KY;NE;239;0;0;0;9742;143;\N;68;\N;68;\N
285;COL;OHCO_54792;OHCO;53400;OBETZ;OH;DC;54792;54792;WHEELING;WV;WS;147;12;0;17;9701;155;10;63;12;51;\N
353;COL;OHCO_74505;OHCO;53400;OBETZ;OH;DC;74505;74505;BRISTOL;VA;WS;326;1;0;1;9201;136;1;68;1;67;\N
348;COL;OHCO_22164;OHCO;53400;OBETZ;OH;DC;22164;22164;OWOSSO;MI;WS;312;6;0;9;8629;150;5;58;6;52;\N
319;COL;OHCO_34729;OHCO;53400;OBETZ;OH;DC;34729;34729;BEAVER;WV;WS;213;12;0;19;8300;162;10;51;12;39;\N
299;COL;OHCO_44716;OHCO;53400;OBETZ;OH;DC;44716;44716;CLARKSBURG;WV;WS;178;9;0;15;8131;152;8;54;9;45;\N
346;COL;OHCO_03142;OHCO;53400;OBETZ;OH;DC;3142;3142;JAMESTOWN;NY;WS;309;0;0;0;7506;139;\N;54;\N;54;\N
318;COL;OHCO_93405;OHCO;53400;OBETZ;OH;DC;93405;93405;ASHTABULA;OH;WB;211;2;0;0;6892;158;\N;44;2;42;\N
344;COL;OHCO_32104;OHCO;53400;OBETZ;OH;DC;32104;32104;BATTLE CREEK;MI;WS;308;27;0;53;6758;141;26;48;27;21;\N
289;COL;OHCO_81309;OHCO;53400;OBETZ;OH;DC;81309;81309;AURORA;IN;WS;153;15;0;31;6426;142;14;45;15;30;\N
360;COL;OHCO_62103;OHCO;53400;OBETZ;OH;DC;62103;62103;BAD AXE;MI;WS;346;6;0;13;6075;144;6;42;6;36;\N
306;COL;OHCO_44725;OHCO;53400;OBETZ;OH;DC;44725;44725;FAIRMONT;WV;WS;193;2;0;5;5407;146;2;37;2;35;\N
323;COL;OHCO_61313;OHCO;53400;OBETZ;OH;DC;61313;61313;PERU;IN;WS;221;10;0;32;4165;144;9;29;10;19;\N
304;COL;OHCO_51363;OHCO;53400;OBETZ;OH;DC;51363;51363;PORTLAND;IN;WS;190;6;0;20;3983;145;6;27;6;21;\N
284;COL;OHCO_03450;OHCO;53400;OBETZ;OH;DC;3450;3450;AKRON;OH;NE;142;0;0;0;2011;100;\N;20;\N;20;\N
337;COL;OHCO_02142;OHCO;53400;OBETZ;OH;DC;2142;2142;LANSING;MI;NE;271;1;0;0;1707;135;\N;13;1;12;\N
270;COL;OHCO_83406;OHCO;53400;OBETZ;OH;DC;83406;83406;BATAVIA;OH;IA;102;27;0;100;694;156;4;4;27;\N;\N
325;COL;OHCO_02160;OHCO;53400;OBETZ;OH;DC;2160;2160;ORION;MI;NE;228;0;0;0;369;102;\N;4;\N;4;\N
295;COL;OHCO_03448;OHCO;53400;OBETZ;OH;DC;3448;3448;AUSTINTOWN;OH;NE;173;0;0;0;304;135;\N;2;\N;2;\N
345;COL;OHCO_02120;OHCO;53400;OBETZ;OH;DC;2120;2120;KENTWOOD;MI;NE;309;0;0;0;250;135;\N;2;\N;2;\N
314;COL;OHCO_02154;OHCO;53400;OBETZ;OH;DC;2154;2154;ANN ARBOR;MI;NE;207;0;0;0;204;101;\N;2;\N;2;\N
308;COL;OHCO_13405;OHCO;53400;OBETZ;OH;DC;13405;13405;PERRYSBURG;OH;NE;196;0;0;0;175;101;\N;2;\N;2;\N
305;COL;OHCO_02138;OHCO;53400;OBETZ;OH;DC;2138;2138;YPSILANTI;MI;NE;191;0;0;0;170;135;\N;1;\N;1;\N
338;COL;OHCO_02162;OHCO;53400;OBETZ;OH;DC;2162;2162;KALAMAZOO;MI;NE;271;0;0;0;67;102;\N;1;\N;1;\N
336;COL;OHCO_12102;OHCO;53400;OBETZ;OH;DC;12102;12102;HIGHLAND PARK;MI;NE;261;0;0;0;45;135;\N;0;\N;0;\N
272;COL;OHCO_03480;OHCO;53400;OBETZ;OH;DC;3480;3480;SPRINGFIELD;OH;NE;112;0;0;0;15;116;\N;0;\N;0;\N
271;COL;OHCO_63440;OHCO;53400;OBETZ;OH;DC;63440;63440;VERSAILLES;OH;IA;104;2;0;100;2;155;0;0;2;\N;\N
406;CRTV;CRTV_53929;CRTV;31000;CARTERSVILLE;GA;BRWY;53929;53929;PIEDMONT;SC;WB;165;225;9;0;122568;151;\N;809;234;576;\N
396;CRTV;CRTV_10143;CRTV;31000;CARTERSVILLE;GA;BRWY;10143;10143;HUNTSVILLE;AL;WS;143;42;113;0;103314;152;\N;679;155;524;\N
