Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit,,,Inc Miles,Inc Minutes,Benefit
veh-25674142,,,,,,,,,,,,,,,,,
veh-25674142,,,,,,,,,,,,,,,,,
veh-25674142,,,,,,,,,,,,,,,,,
veh-25674142,,,,,,,,,,,,,,,,,
veh-25674143,,,,,,,,,,,,,,,,,
veh-25674143,,,,,,,,,,,,,,,,,
veh-25674143,,,,,,,,,,,,,,,,,
veh-25674143,,,,,,,,,,,,,,,,,
veh-25674143,,,,,,,,,,,,,,,,,
veh-25674147,,,,,,,,,,,,,,,,,
veh-25674147,,,,,,,,,,,,,,,,,
veh-25674147,,,,,,,,,,,,,,,,,
veh-25674147,,,,,,,,,,,,,,,,,
veh-25674147,,,,,,,,,,,,,,,,,
veh-25674156,,,,,,,,,,,,,,,,,
veh-25674156,,,,,,,,,,,,,,,,,
veh-25674156,,,,,,,,,,,,,,,,,
veh-25674156,,,,,,,,,,,,,,,,,
veh-25674156,,,,,,,,,,,,,,,,,
veh-25675841,,,,,,,,,,,,,,,,,
veh-25675841,,,,,,,,,,,,,,,,,
veh-25675841,,,,,,,,,,,,,,,,,
veh-25675841,,,,,,,,,,,,,,,,,
veh-25675841,,,,,,,,,,,,,,,,,
veh-25675842,,,,,,,,,,,,,,,,,
veh-25675842,,,,,,,,,,,,,,,,,
veh-25675842,,,,,,,,,,,,,,,,,
veh-25675842,,,,,,,,,,,,,,,,,
veh-25675842,,,,,,,,,,,,,,,,,
veh-25675851,,,,,,,,,,,,,,,,,
veh-25675851,,,,,,,,,,,,,,,,,
veh-25675851,,,,,,,,,,,,,,,,,
veh-25675851,,,,,,,,,,,,,,,,,
veh-25675851,,,,,,,,,,,,,,,,,
veh-25675852,,,,,,,,,,,,,,,,,
veh-25675852,,,,,,,,,,,,,,,,,
veh-25675852,,,,,,,,,,,,,,,,,
veh-25675852,,,,,,,,,,,,,,,,,
veh-25675852,,,,,,,,,,,,,,,,,
veh-25675853,,,,,,,,,,,,,,,,,
veh-25675853,,,,,,,,,,,,,,,,,
veh-25675853,,,,,,,,,,,,,,,,,
veh-25675853,,,,,,,,,,,,,,,,,
veh-25675853,,,,,,,,,,,,,,,,,
veh-25675854,25675854,"HOUSTON, TX","LONGVIEW, TX",,25675854-132,BNSF LOG,847-463-5128,"LUFKIN, TX","DEER PARK, TX",30.7778343917382,166,364.012822084416,,,,,
veh-25675854,,,,,,,,,,,,,,,,,
veh-25675854,,,,,,,,,,,,,,,,,
veh-25675854,,,,,,,,,,,,,,,,,
veh-25675854,,,,,,,,,,,,,,,,,
veh-25675855,,,,,,,,,,,,,,,,,
